x,y,err
0.0000,0.0000,0.1000
0.0000,200.0000,0.1000
0.0000,400.0000,0.1000
0.0000,600.0000,0.1000
0.0000,800.0000,0.1000
0.0000,1000.0000,0.1000
0.0000,1200.0000,0.1000
0.0000,1400.0000,0.1000
0.0000,1600.0000,0.1000
0.0000,1800.0000,0.1000
0.0000,2000.0000,0.1000
0.0000,2200.0000,0.1000
0.0000,2400.0000,0.1000
0.0000,2600.0000,0.1000
0.0000,2800.0000,0.1000
0.0000,3000.0000,0.1000
0.0000,3200.0000,0.1000
0.0000,3400.0000,0.1000
0.0000,3600.0000,0.1000
0.0000,3800.0000,0.1000
0.0000,4000.0000,0.1000
0.0000,4200.0000,0.1000
0.0000,4400.0000,0.1000
0.0000,4600.0000,0.1000
0.0000,4800.0000,0.1000
0.0000,5000.0000,0.1000
0.0000,5200.0000,0.1000
0.0000,5400.0000,0.1000
0.0000,5600.0000,0.1000
0.0000,5800.0000,0.1000
0.0000,6000.0000,0.1000
0.0000,6200.0000,0.1000
0.0000,6400.0000,0.1000
0.0000,6600.0000,0.1000
0.0000,6800.0000,0.1000
0.0000,7000.0000,0.1000
0.0000,7200.0000,0.1000
0.0000,7400.0000,0.1000
0.0000,7600.0000,0.1000
0.0000,7800.0000,0.1000
0.0000,8000.0000,0.1000
0.0000,8200.0000,0.1000
0.0000,8400.0000,0.1000
0.0000,8600.0000,0.1000
0.0000,8800.0000,0.1000
0.0000,9000.0000,0.1000
0.0000,9200.0000,0.1000
0.0000,9400.0000,0.1000
0.0000,9600.0000,0.1000
0.0000,9800.0000,0.1000
0.0000,10000.0000,0.1000
200.0000,0.0000,0.1000
200.0000,200.0000,0.1000
200.0000,400.0000,0.1000
200.0000,600.0000,0.1000
200.0000,800.0000,0.1000
200.0000,1000.0000,0.1000
200.0000,1200.0000,0.1000
200.0000,1400.0000,0.1000
200.0000,1600.0000,0.1000
200.0000,1800.0000,0.1000
200.0000,2000.0000,0.1000
200.0000,2200.0000,0.1000
200.0000,2400.0000,0.1000
200.0000,2600.0000,0.1000
200.0000,2800.0000,0.1000
200.0000,3000.0000,0.1000
200.0000,3200.0000,0.1000
200.0000,3400.0000,0.1000
200.0000,3600.0000,0.1000
200.0000,3800.0000,0.1000
200.0000,4000.0000,0.1000
200.0000,4200.0000,0.1000
200.0000,4400.0000,0.1000
200.0000,4600.0000,0.1000
200.0000,4800.0000,0.1000
200.0000,5000.0000,0.1000
200.0000,5200.0000,0.1000
200.0000,5400.0000,0.1000
200.0000,5600.0000,0.1000
200.0000,5800.0000,0.1000
200.0000,6000.0000,0.1000
200.0000,6200.0000,0.1000
200.0000,6400.0000,0.1000
200.0000,6600.0000,0.1000
200.0000,6800.0000,0.1000
200.0000,7000.0000,0.1000
200.0000,7200.0000,0.1000
200.0000,7400.0000,0.1000
200.0000,7600.0000,0.1000
200.0000,7800.0000,0.1000
200.0000,8000.0000,0.1000
200.0000,8200.0000,0.1000
200.0000,8400.0000,0.1000
200.0000,8600.0000,0.1000
200.0000,8800.0000,0.1000
200.0000,9000.0000,0.1000
200.0000,9200.0000,0.1000
200.0000,9400.0000,0.1000
200.0000,9600.0000,0.1000
200.0000,9800.0000,0.1000
200.0000,10000.0000,0.1000
400.0000,0.0000,0.1000
400.0000,200.0000,0.1000
400.0000,400.0000,0.1000
400.0000,600.0000,0.1000
400.0000,800.0000,0.1000
400.0000,1000.0000,0.1000
400.0000,1200.0000,0.1000
400.0000,1400.0000,0.1000
400.0000,1600.0000,0.1000
400.0000,1800.0000,0.1000
400.0000,2000.0000,0.1000
400.0000,2200.0000,0.1000
400.0000,2400.0000,0.1000
400.0000,2600.0000,0.1000
400.0000,2800.0000,0.1000
400.0000,3000.0000,0.1000
400.0000,3200.0000,0.1000
400.0000,3400.0000,0.1000
400.0000,3600.0000,0.1000
400.0000,3800.0000,0.1000
400.0000,4000.0000,0.1000
400.0000,4200.0000,0.1000
400.0000,4400.0000,0.1000
400.0000,4600.0000,0.1000
400.0000,4800.0000,0.1000
400.0000,5000.0000,0.1000
400.0000,5200.0000,0.1000
400.0000,5400.0000,0.1000
400.0000,5600.0000,0.1000
400.0000,5800.0000,0.1000
400.0000,6000.0000,0.1000
400.0000,6200.0000,0.1000
400.0000,6400.0000,0.1000
400.0000,6600.0000,0.1000
400.0000,6800.0000,0.1000
400.0000,7000.0000,0.1000
400.0000,7200.0000,0.1000
400.0000,7400.0000,0.1000
400.0000,7600.0000,0.1000
400.0000,7800.0000,0.1000
400.0000,8000.0000,0.1000
400.0000,8200.0000,0.1000
400.0000,8400.0000,0.1000
400.0000,8600.0000,0.1000
400.0000,8800.0000,0.1000
400.0000,9000.0000,0.1000
400.0000,9200.0000,0.1000
400.0000,9400.0000,0.1000
400.0000,9600.0000,0.1000
400.0000,9800.0000,0.1000
400.0000,10000.0000,0.1000
600.0000,0.0000,0.1000
600.0000,200.0000,0.1000
600.0000,400.0000,0.1000
600.0000,600.0000,0.1000
600.0000,800.0000,0.1000
600.0000,1000.0000,0.1000
600.0000,1200.0000,0.1000
600.0000,1400.0000,0.1000
600.0000,1600.0000,0.1000
600.0000,1800.0000,0.1000
600.0000,2000.0000,0.1000
600.0000,2200.0000,0.1000
600.0000,2400.0000,0.1000
600.0000,2600.0000,0.1000
600.0000,2800.0000,0.1000
600.0000,3000.0000,0.1000
600.0000,3200.0000,0.1000
600.0000,3400.0000,0.1000
600.0000,3600.0000,0.1000
600.0000,3800.0000,0.1000
600.0000,4000.0000,0.1000
600.0000,4200.0000,0.1000
600.0000,4400.0000,0.1000
600.0000,4600.0000,0.1000
600.0000,4800.0000,0.1000
600.0000,5000.0000,0.1000
600.0000,5200.0000,0.1000
600.0000,5400.0000,0.1000
600.0000,5600.0000,0.1000
600.0000,5800.0000,0.1000
600.0000,6000.0000,0.1000
600.0000,6200.0000,0.1000
600.0000,6400.0000,0.1000
600.0000,6600.0000,0.1000
600.0000,6800.0000,0.1000
600.0000,7000.0000,0.1000
600.0000,7200.0000,0.1000
600.0000,7400.0000,0.1000
600.0000,7600.0000,0.1000
600.0000,7800.0000,0.1000
600.0000,8000.0000,0.1000
600.0000,8200.0000,0.1000
600.0000,8400.0000,0.1000
600.0000,8600.0000,0.1000
600.0000,8800.0000,0.1000
600.0000,9000.0000,0.1000
600.0000,9200.0000,0.1000
600.0000,9400.0000,0.1000
600.0000,9600.0000,0.1000
600.0000,9800.0000,0.1000
600.0000,10000.0000,0.1000
800.0000,0.0000,0.1000
800.0000,200.0000,0.1000
800.0000,400.0000,0.1000
800.0000,600.0000,0.1000
800.0000,800.0000,0.1000
800.0000,1000.0000,0.1000
800.0000,1200.0000,0.1000
800.0000,1400.0000,0.1000
800.0000,1600.0000,0.1000
800.0000,1800.0000,0.1000
800.0000,2000.0000,0.1000
800.0000,2200.0000,0.1000
800.0000,2400.0000,0.1000
800.0000,2600.0000,0.1000
800.0000,2800.0000,0.1000
800.0000,3000.0000,0.1000
800.0000,3200.0000,0.1000
800.0000,3400.0000,0.1000
800.0000,3600.0000,0.1000
800.0000,3800.0000,0.1000
800.0000,4000.0000,0.1000
800.0000,4200.0000,0.1000
800.0000,4400.0000,0.1000
800.0000,4600.0000,0.1000
800.0000,4800.0000,0.1000
800.0000,5000.0000,0.1000
800.0000,5200.0000,0.1000
800.0000,5400.0000,0.1000
800.0000,5600.0000,0.1000
800.0000,5800.0000,0.1000
800.0000,6000.0000,0.1000
800.0000,6200.0000,0.1000
800.0000,6400.0000,0.1000
800.0000,6600.0000,0.1000
800.0000,6800.0000,0.1000
800.0000,7000.0000,0.1000
800.0000,7200.0000,0.1000
800.0000,7400.0000,0.1000
800.0000,7600.0000,0.1000
800.0000,7800.0000,0.1000
800.0000,8000.0000,0.1000
800.0000,8200.0000,0.1000
800.0000,8400.0000,0.1000
800.0000,8600.0000,0.1000
800.0000,8800.0000,0.1000
800.0000,9000.0000,0.1000
800.0000,9200.0000,0.1000
800.0000,9400.0000,0.1000
800.0000,9600.0000,0.1000
800.0000,9800.0000,0.1000
800.0000,10000.0000,0.1000
1000.0000,0.0000,0.1000
1000.0000,200.0000,0.1000
1000.0000,400.0000,0.1000
1000.0000,600.0000,0.1000
1000.0000,800.0000,0.1000
1000.0000,1000.0000,0.1000
1000.0000,1200.0000,0.1000
1000.0000,1400.0000,0.1000
1000.0000,1600.0000,0.1000
1000.0000,1800.0000,0.1000
1000.0000,2000.0000,0.1000
1000.0000,2200.0000,0.1000
1000.0000,2400.0000,0.1000
1000.0000,2600.0000,0.1000
1000.0000,2800.0000,0.1000
1000.0000,3000.0000,0.1000
1000.0000,3200.0000,0.1000
1000.0000,3400.0000,0.1000
1000.0000,3600.0000,0.1000
1000.0000,3800.0000,0.1000
1000.0000,4000.0000,0.1000
1000.0000,4200.0000,0.1000
1000.0000,4400.0000,0.1000
1000.0000,4600.0000,0.1000
1000.0000,4800.0000,0.1000
1000.0000,5000.0000,0.1000
1000.0000,5200.0000,0.1000
1000.0000,5400.0000,0.1000
1000.0000,5600.0000,0.1000
1000.0000,5800.0000,0.1000
1000.0000,6000.0000,0.1000
1000.0000,6200.0000,0.1000
1000.0000,6400.0000,0.1000
1000.0000,6600.0000,0.1000
1000.0000,6800.0000,0.1000
1000.0000,7000.0000,0.1000
1000.0000,7200.0000,0.1000
1000.0000,7400.0000,0.1000
1000.0000,7600.0000,0.1000
1000.0000,7800.0000,0.1000
1000.0000,8000.0000,0.1000
1000.0000,8200.0000,0.1000
1000.0000,8400.0000,0.1000
1000.0000,8600.0000,0.1000
1000.0000,8800.0000,0.1000
1000.0000,9000.0000,0.1000
1000.0000,9200.0000,0.1000
1000.0000,9400.0000,0.1000
1000.0000,9600.0000,0.1000
1000.0000,9800.0000,0.1000
1000.0000,10000.0000,0.1000
1200.0000,0.0000,0.1000
1200.0000,200.0000,0.1000
1200.0000,400.0000,0.1000
1200.0000,600.0000,0.1000
1200.0000,800.0000,0.1000
1200.0000,1000.0000,0.1000
1200.0000,1200.0000,0.1000
1200.0000,1400.0000,0.1000
1200.0000,1600.0000,0.1000
1200.0000,1800.0000,0.1000
1200.0000,2000.0000,0.1000
1200.0000,2200.0000,0.1000
1200.0000,2400.0000,0.1000
1200.0000,2600.0000,0.1000
1200.0000,2800.0000,0.1000
1200.0000,3000.0000,0.1000
1200.0000,3200.0000,0.1000
1200.0000,3400.0000,0.1000
1200.0000,3600.0000,0.1000
1200.0000,3800.0000,0.1000
1200.0000,4000.0000,0.1000
1200.0000,4200.0000,0.1000
1200.0000,4400.0000,0.1000
1200.0000,4600.0000,0.1000
1200.0000,4800.0000,0.1000
1200.0000,5000.0000,0.1000
1200.0000,5200.0000,0.1000
1200.0000,5400.0000,0.1000
1200.0000,5600.0000,0.1000
1200.0000,5800.0000,0.1000
1200.0000,6000.0000,0.1000
1200.0000,6200.0000,0.1000
1200.0000,6400.0000,0.1000
1200.0000,6600.0000,0.1000
1200.0000,6800.0000,0.1000
1200.0000,7000.0000,0.1000
1200.0000,7200.0000,0.1000
1200.0000,7400.0000,0.1000
1200.0000,7600.0000,0.1000
1200.0000,7800.0000,0.1000
1200.0000,8000.0000,0.1000
1200.0000,8200.0000,0.1000
1200.0000,8400.0000,0.1000
1200.0000,8600.0000,0.1000
1200.0000,8800.0000,0.1000
1200.0000,9000.0000,0.1000
1200.0000,9200.0000,0.1000
1200.0000,9400.0000,0.1000
1200.0000,9600.0000,0.1000
1200.0000,9800.0000,0.1000
1200.0000,10000.0000,0.1000
1400.0000,0.0000,0.1000
1400.0000,200.0000,0.1000
1400.0000,400.0000,0.1000
1400.0000,600.0000,0.1000
1400.0000,800.0000,0.1000
1400.0000,1000.0000,0.1000
1400.0000,1200.0000,0.1000
1400.0000,1400.0000,0.1000
1400.0000,1600.0000,0.1000
1400.0000,1800.0000,0.1000
1400.0000,2000.0000,0.1000
1400.0000,2200.0000,0.1000
1400.0000,2400.0000,0.1000
1400.0000,2600.0000,0.1000
1400.0000,2800.0000,0.1000
1400.0000,3000.0000,0.1000
1400.0000,3200.0000,0.1000
1400.0000,3400.0000,0.1000
1400.0000,3600.0000,0.1000
1400.0000,3800.0000,0.1000
1400.0000,4000.0000,0.1000
1400.0000,4200.0000,0.1000
1400.0000,4400.0000,0.1000
1400.0000,4600.0000,0.1000
1400.0000,4800.0000,0.1000
1400.0000,5000.0000,0.1000
1400.0000,5200.0000,0.1000
1400.0000,5400.0000,0.1000
1400.0000,5600.0000,0.1000
1400.0000,5800.0000,0.1000
1400.0000,6000.0000,0.1000
1400.0000,6200.0000,0.1000
1400.0000,6400.0000,0.1000
1400.0000,6600.0000,0.1000
1400.0000,6800.0000,0.1000
1400.0000,7000.0000,0.1000
1400.0000,7200.0000,0.1000
1400.0000,7400.0000,0.1000
1400.0000,7600.0000,0.1000
1400.0000,7800.0000,0.1000
1400.0000,8000.0000,0.1000
1400.0000,8200.0000,0.1000
1400.0000,8400.0000,0.1000
1400.0000,8600.0000,0.1000
1400.0000,8800.0000,0.1000
1400.0000,9000.0000,0.1000
1400.0000,9200.0000,0.1000
1400.0000,9400.0000,0.1000
1400.0000,9600.0000,0.1000
1400.0000,9800.0000,0.1000
1400.0000,10000.0000,0.1000
1600.0000,0.0000,0.1000
1600.0000,200.0000,0.1000
1600.0000,400.0000,0.1000
1600.0000,600.0000,0.1000
1600.0000,800.0000,0.1000
1600.0000,1000.0000,0.1000
1600.0000,1200.0000,0.1000
1600.0000,1400.0000,0.1000
1600.0000,1600.0000,0.1000
1600.0000,1800.0000,0.1000
1600.0000,2000.0000,0.1000
1600.0000,2200.0000,0.1000
1600.0000,2400.0000,0.1000
1600.0000,2600.0000,0.1000
1600.0000,2800.0000,0.1000
1600.0000,3000.0000,0.1000
1600.0000,3200.0000,0.1000
1600.0000,3400.0000,0.1000
1600.0000,3600.0000,0.1000
1600.0000,3800.0000,0.1000
1600.0000,4000.0000,0.1000
1600.0000,4200.0000,0.1000
1600.0000,4400.0000,0.1000
1600.0000,4600.0000,0.1000
1600.0000,4800.0000,0.1000
1600.0000,5000.0000,0.1000
1600.0000,5200.0000,0.1000
1600.0000,5400.0000,0.1000
1600.0000,5600.0000,0.1000
1600.0000,5800.0000,0.1000
1600.0000,6000.0000,0.1000
1600.0000,6200.0000,0.1000
1600.0000,6400.0000,0.1000
1600.0000,6600.0000,0.1000
1600.0000,6800.0000,0.1000
1600.0000,7000.0000,0.1000
1600.0000,7200.0000,0.1000
1600.0000,7400.0000,0.1000
1600.0000,7600.0000,0.1000
1600.0000,7800.0000,0.1000
1600.0000,8000.0000,0.1000
1600.0000,8200.0000,0.1000
1600.0000,8400.0000,0.1000
