x,y,dx,dy,dz,dxi,dyi,dzi,eh
0.0000,0.0000,0.3280,0.7326,0.0012,0.3280,0.7326,0.0012,0.0000
0.0000,200.0000,0.3240,0.7287,0.0013,0.3239,0.7286,0.0012,0.0001
0.0000,400.0000,0.3199,0.7248,0.0013,0.3198,0.7246,0.0012,0.0002
0.0000,600.0000,0.3158,0.7208,0.0013,0.3158,0.7207,0.0013,0.0001
0.0000,800.0000,0.3117,0.7168,0.0013,0.3117,0.7167,0.0013,0.0001
0.0000,1000.0000,0.3076,0.7127,0.0013,0.3076,0.7127,0.0013,0.0000
0.0000,1200.0000,0.3034,0.7086,0.0013,0.3034,0.7085,0.0012,0.0001
0.0000,1400.0000,0.2992,0.7044,0.0012,0.2991,0.7043,0.0012,0.0002
0.0000,1600.0000,0.2950,0.7002,0.0011,0.2949,0.7000,0.0011,0.0002
0.0000,1800.0000,0.2907,0.6959,0.0011,0.2906,0.6958,0.0011,0.0001
0.0000,2000.0000,0.2864,0.6916,0.0010,0.2864,0.6916,0.0010,0.0000
0.0000,2200.0000,0.2820,0.6873,0.0009,0.2819,0.6872,0.0009,0.0002
0.0000,2400.0000,0.2775,0.6829,0.0008,0.2773,0.6828,0.0008,0.0002
0.0000,2600.0000,0.2730,0.6785,0.0007,0.2728,0.6784,0.0007,0.0002
0.0000,2800.0000,0.2684,0.6741,0.0006,0.2682,0.6740,0.0006,0.0002
0.0000,3000.0000,0.2637,0.6696,0.0005,0.2637,0.6696,0.0005,0.0000
0.0000,3200.0000,0.2589,0.6651,0.0004,0.2588,0.6651,0.0004,0.0001
0.0000,3400.0000,0.2541,0.6607,0.0003,0.2538,0.6606,0.0003,0.0003
0.0000,3600.0000,0.2491,0.6562,0.0002,0.2489,0.6562,0.0002,0.0002
0.0000,3800.0000,0.2441,0.6517,0.0001,0.2439,0.6517,0.0001,0.0002
0.0000,4000.0000,0.2390,0.6472,0.0000,0.2390,0.6472,0.0000,0.0000
0.0000,4200.0000,0.2338,0.6427,-0.0001,0.2336,0.6428,-0.0001,0.0002
0.0000,4400.0000,0.2285,0.6382,-0.0001,0.2283,0.6383,-0.0002,0.0003
0.0000,4600.0000,0.2231,0.6338,-0.0002,0.2229,0.6339,-0.0002,0.0002
0.0000,4800.0000,0.2177,0.6294,-0.0003,0.2176,0.6294,-0.0003,0.0001
0.0000,5000.0000,0.2122,0.6250,-0.0004,0.2122,0.6250,-0.0004,0.0000
0.0000,5200.0000,0.2067,0.6207,-0.0004,0.2066,0.6207,-0.0005,0.0001
0.0000,5400.0000,0.2011,0.6164,-0.0005,0.2010,0.6164,-0.0005,0.0001
0.0000,5600.0000,0.1955,0.6121,-0.0006,0.1955,0.6122,-0.0006,0.0001
0.0000,5800.0000,0.1899,0.6078,-0.0007,0.1899,0.6079,-0.0006,0.0001
0.0000,6000.0000,0.1843,0.6036,-0.0007,0.1843,0.6036,-0.0007,0.0000
0.0000,6200.0000,0.1787,0.5994,-0.0008,0.1787,0.5995,-0.0008,0.0001
0.0000,6400.0000,0.1731,0.5953,-0.0009,0.1731,0.5953,-0.0009,0.0000
0.0000,6600.0000,0.1675,0.5911,-0.0010,0.1676,0.5912,-0.0011,0.0001
0.0000,6800.0000,0.1619,0.5870,-0.0011,0.1620,0.5870,-0.0012,0.0001
0.0000,7000.0000,0.1564,0.5829,-0.0013,0.1564,0.5829,-0.0013,0.0000
0.0000,7200.0000,0.1509,0.5788,-0.0014,0.1510,0.5788,-0.0015,0.0001
0.0000,7400.0000,0.1454,0.5746,-0.0015,0.1455,0.5746,-0.0016,0.0001
0.0000,7600.0000,0.1399,0.5705,-0.0017,0.1401,0.5705,-0.0018,0.0002
0.0000,7800.0000,0.1346,0.5664,-0.0019,0.1346,0.5663,-0.0019,0.0001
0.0000,8000.0000,0.1292,0.5622,-0.0021,0.1292,0.5622,-0.0021,0.0000
0.0000,8200.0000,0.1239,0.5580,-0.0022,0.1239,0.5579,-0.0023,0.0001
0.0000,8400.0000,0.1186,0.5537,-0.0024,0.1187,0.5536,-0.0025,0.0001
0.0000,8600.0000,0.1133,0.5495,-0.0027,0.1134,0.5494,-0.0027,0.0002
0.0000,8800.0000,0.1081,0.5451,-0.0029,0.1082,0.5451,-0.0029,0.0001
0.0000,9000.0000,0.1029,0.5408,-0.0031,0.1029,0.5408,-0.0031,0.0000
0.0000,9200.0000,0.0977,0.5364,-0.0033,0.0977,0.5363,-0.0033,0.0001
0.0000,9400.0000,0.0925,0.5319,-0.0035,0.0925,0.5318,-0.0035,0.0001
0.0000,9600.0000,0.0873,0.5274,-0.0038,0.0873,0.5272,-0.0038,0.0002
0.0000,9800.0000,0.0821,0.5228,-0.0040,0.0821,0.5227,-0.0040,0.0001
