name,datatype,domain,context,definition,remark
affineCoeffs,real[],ggxf,GGXF_Grid,"Space-separated sequence of coefficients A0, A1, A2, B0, B1 and B2 of the 2D affine parametric transformation used to convert the grid indices to the Interpolation CRS coordinates and vice versa. For a 3D grid the sequence of coefficients is A0, A1, A2, B0, B1, B2, C0, C1 and C2. Refer to clause 5 and Annex D.1.",
contentApplicabilityExtent,GGXF_SpatialExtent,ggxf,GGXF_DiscoveryMetadata,"Definition of the extent beyond  which the content is not applicable.  Includes a Geographic bounding box describing the extent of the total file content (all grids in a file containing multiple grids) through southBoundLatitude, westBoundLongitude, northBoundLatitude and eastBoundLongitude.  May also contain a text description of the extent and/or a polygon definition more precisely defining the extent.",
cosineMultiplier,real,deformation,GGXF_CyclicTimeFunction,Amplitude of the cosine term of a cyclic time function.,
crsName,characterString,ggxf,GGXF_CrsDefinition,"Name of the coordinate reference system, usually used in conjunction with the CrsUri.",
crsUri,characterString,ggxf,GGXF_CrsDefinition,Resolvable http address for the identification of the coordinate reference system.,
crsWkt,characterString,ggxf,GGXF_CrsDefinition,Description in well-known text conformant to ISO 19162 of the coordinate reference system,
decayRate,real,deformation,GGXF_ExponentialTimeFunction,The decay rate in years for an exponential time function,
defaultHorizontalUncertainty,real,deformation,GGXF_GroupDeformation,The default value for horizontal uncertainty of deformation defined by a group in metres.  This may be used if the uncertainty is not explicitly defined by grid parameters.,
defaultVerticalUncertainty,real,deformation,GGXF_GroupDeformation,The default value for vertical uncertainty of deformation defined by a group in metres.  This may be used if the uncertainty is not explicitly defined by grid parameters.,
deformationApplicationMethod,characterString,deformation,GGXF_FileDeformation,Keyword defining the method used to apply the displacement calculated from the deformation model to a coordinate in the source CRS.,
deformationBursaWolfTransformation,GGXF_BursaWolfTransformation,deformation,GGXF_FileDeformation,Defines an optional 14 parameter transformation that is applied to coordinates in the source CRS after the calculated deformation has been added to transform it to the target CRS.  Similarly it is applied in reverse to coordinates in the targetCRS before subtracting the calculated deformation to determine the corresponding source CRS coordinates.,
